t,x,xdot,theta,thetadot,u,theta_ref,x_hat,theta_hat
1.26,0.07638,-0.139783,-0.0133947,0.161571,1.57083,0.00504969,0.0824981,-0.00522071
1.27,0.0751448,-0.107286,-0.0121195,0.0936377,-1.66888,0.00504969,0.070915,-0.0233091
1.28,0.0739102,-0.139627,-0.0108731,0.155606,1.483,0.00504969,0.0703456,-0.00397633
1.29,0.0726673,-0.108983,-0.0096364,0.0918809,0.950831,0.00504969,0.0849902,-0.00434782
1.3,0.0716767,-0.0891575,-0.00892663,0.0501663,0.669976,0.00209497,0.0631245,-0.00320031
1.31,0.0708557,-0.0750629,-0.00857538,0.0201424,-2.60949,0.00209497,0.0678127,-0.0234517
1.32,0.0698478,-0.126472,-0.00786869,0.121077,2.57011,0.00209497,0.0536716,0.007653
1.33,0.0688441,-0.0743295,-0.00718878,0.0150934,-4.24817,0.00209497,0.0379599,-0.0331739
1.34,0.0676796,-0.158487,-0.00620372,0.181714,2.55649,0.00209497,0.0783489,0.00620333
1.35,0.0663549,-0.106522,-0.00491497,0.0762516,-0.150287,0.00299105,0.0638489,-0.0073815
1.36,0.0652779,-0.108864,-0.00413501,0.0797691,-1.33572,0.00299105,0.0560274,-0.0151305
1.37,0.0640592,-0.134872,-0.00308255,0.130694,1.6218,0.00299105,0.0636324,0.00296681
1.38,0.062876,-0.101794,-0.00211133,0.0636936,0.936526,0.00299105,0.0667942,0.00134035
1.39,0.0619542,-0.0825906,-0.00166943,0.0247645,-0.428191,0.00299105,0.0700237,-0.00615786
1.4,0.0610876,-0.0907249,-0.00134247,0.0406184,-4.32481,0.00318546,0.0624568,-0.0327998
1.41,0.0597508,-0.176563,-8.00061e-05,0.211676,0.110362,0.00318546,0.0630474,-0.00955219
1.42,0.0580004,-0.173544,0.00200327,0.205085,-0.107874,0.00318546,0.0571281,-0.0100544
1.43,0.0562578,-0.174976,0.00406727,0.207805,1.45256,0.00318546,0.0659392,0.000871948
1.44,0.0546564,-0.145353,0.00584997,0.148905,-0.0126526,0.00318546,0.0689325,-0.00611904
1.45,0.0532038,-0.145177,0.00734072,0.149313,2.12545,0.000746436,0.0513978,0.00924581
